name,family,level,strength_index,seed,observations,score,signal,visualization_quality,skewness,skew_score,outlier_rate,outlier_score,tail_asymmetry,tail_asymmetry_score
hist_skewness_weak_seed_4,skewness,weak,1,4,1000,48.17,20.27,100.0,0.4819367959499905,6.064559864999684,0.012,3.0,0.16212150307560935,20.26518788445117
hist_outliers_weak_seed_4,symmetric_outliers,weak,1,4,1000,40.85,9.0,100.0,1.0594854238546496,19.189708477092992,0.016,9.0,0.033731755259328866,0.0
hist_combined_tail_weak_seed_4,combined_right_tail,weak,1,4,1000,48.58,20.89,100.0,2.3098215134053843,38.098215134053845,0.02,15.0,0.16711930563672828,20.889913204591036
hist_bimodality_weak_seed_4,bimodality,weak,1,4,1000,35.0,0.0,100.0,0.019690147247467742,0.0,0.002,0.0,0.0151431657130588,0.0
hist_skewness_moderate_seed_4,skewness,moderate,2,4,1000,58.43,36.04,100.0,1.0557688263618523,19.115376527237046,0.026,19.5,0.2853008224353521,36.040109658046944
hist_outliers_moderate_seed_4,symmetric_outliers,moderate,2,4,1000,52.06,26.25,100.0,0.04307144527609181,0.0,0.035,26.250000000000004,0.006020924453194358,0.0
hist_combined_tail_moderate_seed_4,combined_right_tail,moderate,2,4,1000,61.99,41.52,100.0,3.1201951694924333,46.20195169492433,0.05,36.666666666666664,0.3264328675754646,41.524382343395274
hist_bimodality_moderate_seed_4,bimodality,moderate,2,4,1000,72.42,57.57,100.0,-0.01143536263376142,0.0,0.0,0.0,0.024737745781760568,0.0
hist_skewness_strong_seed_4,skewness,strong,3,4,1000,70.84,55.13,100.0,1.8145479806538578,31.98640468562519,0.047,34.666666666666664,0.4270711295315723,55.132925627448465
hist_outliers_strong_seed_4,symmetric_outliers,strong,3,4,1000,64.03,44.67,100.0,0.15034444760574933,0.0,0.062,44.666666666666664,0.004037854609077086,0.0
hist_combined_tail_strong_seed_4,combined_right_tail,strong,3,4,1000,80.66,70.25,100.0,2.914787585240724,44.14787585240724,0.088,58.99999999999999,0.553778607317191,70.2519071544794
hist_bimodality_strong_seed_4,bimodality,strong,3,4,1000,84.2,75.68,100.0,-0.05310353941029019,0.0,0.0,0.0,0.19743959311606238,24.679949139507798
hist_skewness_extreme_seed_4,skewness,extreme,4,4,1000,80.54,70.06,100.0,2.6574793609081087,41.574793609081084,0.073,51.49999999999999,0.5509376497116327,70.06250998077552
hist_outliers_extreme_seed_4,symmetric_outliers,extreme,4,4,1000,77.42,65.26,100.0,0.19946081052777503,0.0,0.101,65.26,0.019880371964684392,0.0
hist_combined_tail_extreme_seed_4,combined_right_tail,extreme,4,4,1000,90.96,86.09,100.0,2.3930838051201695,38.9308380512017,0.129,72.54,0.8141594301358746,86.08850294057997
hist_bimodality_extreme_seed_4,bimodality,extreme,4,4,1000,86.9,79.84,100.0,-0.07276407682545902,0.0,0.0,0.0,0.38267194185965214,49.02292558128695
hist_skewness_ordinary_seed_5,skewness,ordinary,0,5,1000,35.0,0.0,100.0,-0.022273849184646564,0.0,0.007,0.0,0.0013984599138788052,0.0
hist_outliers_ordinary_seed_5,symmetric_outliers,ordinary,0,5,1000,35.0,0.0,100.0,-0.022273849184645474,0.0,0.007,0.0,0.0013984599138795848,0.0
hist_combined_tail_ordinary_seed_5,combined_right_tail,ordinary,0,5,1000,35.0,0.0,100.0,-0.022273849184646564,0.0,0.007,0.0,0.0013984599138788052,0.0
